Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"encodings.cp437.Codec.decode",120,0.00,0.00,0.00,0.00,"cp437.py",
"str.startswith",105,0.00,0.00,0.00,0.00,"Unidentifiable Method",
".get_provider",2,0.00,0.00,0.09,0.01,"__init__.py",
".get_supported_platform",1,0.00,0.00,0.13,0.03,"__init__.py",
".from_filename",2,0.00,0.00,0.68,0.01,"__init__.py",
"EggMetadata.__init__",2,0.00,0.00,0.18,0.01,"__init__.py",
"ResourceManager.resource_stream",1,0.00,0.00,0.18,0.03,"__init__.py",
"version.<genexpr>",24,0.00,0.00,0.00,0.00,"version.py",
"zipfile.ZipInfo._decodeExtra",120,0.00,0.00,0.00,0.00,"zipfile.py",
"pygame.colordict (module)",1,0.00,0.00,0.03,0.03,"colordict.py",
"re.match",90,0.00,0.00,0.00,0.00,"re.py",
"_sre.SRE_Pattern.sub",8,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"pygame.MissingModule.__init__",3,0.00,0.00,0.01,0.01,"__init__.py",
"string (module)",1,0.00,0.00,3.02,0.03,"string.py",
".zipinfo",4,0.00,0.00,0.81,0.01,"__init__.py",
"NullProvider.has_resource",1,0.00,0.00,0.17,0.02,"__init__.py",
"os.<listcomp>",1,0.00,0.00,0.02,0.02,"os.py",
"_thread.allocate_lock",5,0.00,0.00,0.00,0.00,"_thread",
"EggProvider.__init__",2,0.00,0.00,0.07,0.01,"__init__.py",
"zipfile.ZipFile.getinfo",120,0.00,0.00,0.00,0.00,"zipfile.py",
"round",9,0.00,0.00,0.00,0.00,"builtins",
"posixpath (module)",1,0.00,0.00,0.02,0.02,"posixpath.py",
"_io.BufferedReader.seek",4,0.00,0.00,0.01,0.01,"Unidentifiable Method",
"email.charset (module)",1,0.00,0.00,0.15,0.02,"charset.py",
"racing-game-fixed.Lane.__init__",5,0.00,0.00,0.04,0.00,"racing-game-fixed.py",
".<lambda>",4,0.00,0.00,0.22,0.01,"__init__.py",
"tarfile.TarInfo",1,0.00,0.00,0.02,0.02,"tarfile.py",
"functools.update_wrapper",8,0.00,0.00,0.00,0.00,"functools.py",
"_io.BufferedReader.close",1,0.00,0.00,0.02,0.02,"Unidentifiable Method",
"_sre.SRE_Match.group",68,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"str.find",122,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"repr",5,0.00,0.00,0.00,0.00,"builtins",
"abc.<setcomp>",7,0.00,0.00,0.01,0.00,"abc.py",
"zipfile.ZipExtFile",1,0.00,0.00,0.40,0.02,"zipfile.py",
"version.Version.__str__",6,0.00,0.00,0.02,0.00,"version.py",
"list.extend",28,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"tarfile.TarFile",1,0.00,0.00,0.02,0.02,"tarfile.py",
"pygame.compat (module)",1,0.00,0.00,0.03,0.02,"compat.py",
"queue (module)",1,0.00,0.00,0.38,0.02,"queue.py",
"pickle._Pickler",1,0.00,0.00,0.02,0.02,"pickle.py",
"sre_compile._identityfunction",333,0.00,0.00,0.00,0.00,"sre_compile.py",
"eval",1,0.00,0.00,0.02,0.02,"builtins",
"multiprocessing.process._MainProcess.__init__",1,0.00,0.00,1.01,0.02,"process.py",
"<string> (module)",1,0.00,0.00,0.41,0.02,"(string)",
"zipfile.ZipFile.namelist",1,0.00,0.00,0.02,0.02,"zipfile.py",
"racing-game-fixed.Texture.scaleTo",3,0.00,0.00,0.47,0.01,"racing-game-fixed.py",
"tempfile._RandomNameSequence",1,0.00,0.00,0.01,0.01,"tempfile.py",
"hashlib.__get_openssl_constructor",6,0.00,0.00,0.00,0.00,"hashlib.py",
"email.errors (module)",1,0.00,0.00,1.46,0.01,"errors.py",
